"record","time","date","Machine","SampleID","Remove","A","Ci","VPDleaf","Tair","Tleaf","CO2r","CO2s","H2Or","H2Os","RHs","flow","Qin","Patm","gsw"
"19","10:33:11","20220314","Derek","BNL20515","NO",0.129,377,1.62,27.6,26.93,399.55,399.26,18.957,19.293,52.55,499.5,21,101,17.5
"20","10:36:11","20220314","Derek","BNL20515","NO",-0.584,466,1.63,27.61,26.94,399.66,400.27,18.972,19.209,52.3,499.5,10,101,12.2
"21","10:39:01","20220314","Derek","BNL20515","NO",-0.582,489,1.64,27.64,26.98,398.9,399.53,18.985,19.166,52.07,499.5,1,101,9.19
"22","10:42:22","20220314","Derek","BNL20515","YES",0.669,146,1.58,24.23,26.7,400.68,399.85,19.055,19.138,63.69,499.5,2000,101,4.34
"1","08:26:10","20220323","Bernie","BNL20527","YES",4.22,296,1.75,23.04,28.13,405.55,399.87,19.164,20.677,73.49,500.7,1999,100.5,74.1
"2","08:30:13","20220323","Bernie","BNL20527","YES",4.31,291,1.81,23.31,28.54,405.8,400.01,19.388,20.908,73.1,500.7,1999,100.5,71.6
"3","08:32:14","20220323","Bernie","BNL20527","YES",4.28,289,1.72,22.48,28.11,405.76,400.06,19.487,20.88,76.78,500.7,1999,100.5,69.1
"4","08:34:15","20220323","Bernie","BNL20527","NO",4.2,294,1.66,22.51,27.88,405.62,400.01,19.552,20.944,76.87,500.7,2001,100.5,71.5
"5","08:36:40","20220323","Bernie","BNL20527","NO",4,300,1.64,23.49,27.79,405.27,399.92,19.63,21.014,72.72,500.7,1701,100.5,72.3
"6","08:38:42","20220323","Bernie","BNL20527","NO",3.81,303,1.66,24.34,27.91,405.21,400.08,19.67,21.056,69.23,500.7,1501,100.5,71.4
"7","08:40:43","20220323","Bernie","BNL20527","NO",3.76,303,1.66,24.71,27.94,405.1,400.03,19.71,21.079,67.8,500.7,1400,100.5,70.3
"8","08:42:44","20220323","Bernie","BNL20527","NO",3.6,306,1.66,25.32,27.92,404.89,400.02,19.745,21.105,65.44,500.7,1200,100.5,70.2
"9","08:44:45","20220323","Bernie","BNL20527","NO",3.46,309,1.66,25.93,27.93,404.85,400.16,19.796,21.134,63.2,500.7,999,100.5,69
"10","08:46:46","20220323","Bernie","BNL20527","NO",3.35,309,1.64,26.47,27.88,404.6,400.05,19.843,21.14,61.24,500.7,800,100.5,67.3
"11","08:48:47","20220323","Bernie","BNL20527","NO",3.25,308,1.62,27.05,27.81,404.36,399.96,19.954,21.185,59.3,500.7,601,100.5,64.6
"12","08:50:48","20220323","Bernie","BNL20527","NO",2.78,317,1.63,27.72,27.9,403.75,399.93,20.096,21.285,57.29,500.7,399,100.5,62
"13","08:52:49","20220323","Bernie","BNL20527","NO",2.51,317,1.65,28.01,28.02,403.35,399.89,20.288,21.38,56.59,500.6,300,100.5,56.2
"14","08:54:50","20220323","Bernie","BNL20527","NO",2.1,321,1.65,28.16,28.03,402.85,399.94,20.501,21.456,56.31,500.7,200,100.5,49.2
"15","08:56:51","20220323","Bernie","BNL20527","NO",1.27,342,1.64,28.26,28.04,401.92,400.05,20.735,21.568,56.26,500.7,120,100.5,43.1
"16","08:58:52","20220323","Bernie","BNL20527","NO",0.801,356,1.63,28.31,28.11,401.36,400.1,21.035,21.762,56.6,500.6,80,100.5,37.6
"17","09:00:53","20220323","Bernie","BNL20527","NO",0.313,373,1.63,28.03,28.17,400.58,399.96,21.333,21.921,57.93,500.6,50,100.5,30.3
"18","09:02:54","20220323","Bernie","BNL20527","NO",-0.195,403,1.59,27.89,28.02,400.05,400.1,21.523,21.978,58.56,500.6,29,100.5,24
"19","09:04:55","20220323","Bernie","BNL20527","NO",-0.444,425,1.61,27.93,28.13,399.71,400.09,21.691,22.069,58.68,500.7,19,100.5,19.7
"20","09:06:56","20220323","Bernie","BNL20527","NO",-0.63,451,1.6,27.73,28.15,399.26,399.89,21.848,22.157,59.61,500.6,10,100.5,16.2
"21","09:08:57","20220323","Bernie","BNL20527","NO",-0.931,497,1.59,27.83,28.12,399.07,400.08,21.928,22.19,59.35,500.6,-1,100.5,13.8
"1","12:12:12","20220323","Bernie","BNL20532","YES",4.22,280,1.84,23.32,28.94,406.22,400.6,20.238,21.596,75.41,500.6,1999,100.4,62.7
"2","12:29:30","20220323","Bernie","BNL20532","YES",4.36,294,2.26,24.92,30.55,406,399.94,19.23,21.269,67.46,500.6,1999,100.3,76.9
"3","12:32:51","20220323","Bernie","BNL20532","YES",4.28,296,2.17,24.54,30.21,405.81,399.89,19.348,21.301,69.1,500.6,2001,100.3,76.6
"4","12:36:12","20220323","Bernie","BNL20532","NO",4.25,298,2.08,24.13,29.8,405.9,400.05,19.366,21.241,70.59,500.6,2001,100.3,76.9
"5","12:39:33","20220323","Bernie","BNL20532","NO",4.04,301,1.91,23.84,28.97,405.9,400.36,19.316,21,71.03,500.6,1701,100.3,75.3
"6","12:42:55","20220323","Bernie","BNL20532","NO",4,302,1.81,23.75,28.52,405.31,399.86,19.33,20.919,71.15,500.6,1500,100.3,74.8
"7","12:46:16","20220323","Bernie","BNL20532","NO",4.07,300,1.77,23.72,28.37,405.31,399.8,19.428,20.977,71.43,500.6,1399,100.3,74.5
"8","12:48:17","20220323","Bernie","BNL20532","NO",3.88,304,1.69,23.66,27.96,405.39,400.14,19.472,20.927,71.51,500.6,1200,100.3,73.6
"9","12:50:43","20220323","Bernie","BNL20532","NO",3.75,309,1.65,24.31,27.78,405.13,400.05,19.507,20.951,68.86,500.6,1000,100.3,74.9
"10","12:52:44","20220323","Bernie","BNL20532","NO",3.62,310,1.69,25.07,27.99,404.99,400.06,19.545,21.011,65.98,500.6,800,100.3,74.2
"11","12:54:45","20220323","Bernie","BNL20532","NO",3.49,311,1.68,25.47,27.92,404.68,399.91,19.542,20.961,64.28,500.6,601,100.3,72.2
"12","12:56:46","20220323","Bernie","BNL20532","NO",3,320,1.65,26.12,27.77,404.15,399.99,19.484,20.845,61.52,500.6,400,100.3,70.2
"13","12:58:47","20220323","Bernie","BNL20532","NO",2.73,324,1.71,26.77,28,403.84,400.01,19.42,20.774,59.02,500.6,300,100.3,67.4
"14","13:00:48","20220323","Bernie","BNL20532","NO",2.34,330,1.73,26.8,28.07,403.25,399.91,19.398,20.715,58.71,500.6,199,100.3,64.6
"15","13:02:49","20220323","Bernie","BNL20532","NO",1.73,343,1.7,26.8,27.88,402.5,399.92,19.369,20.586,58.37,500.6,120,100.3,60.6
"16","13:04:50","20220323","Bernie","BNL20532","NO",1.06,359,1.71,27.18,27.84,401.78,400.03,19.291,20.444,56.69,500.6,80,100.3,57.2
"17","13:06:51","20220323","Bernie","BNL20532","NO",0.425,376,1.74,27.43,27.94,400.86,399.9,19.216,20.319,55.5,500.6,51,100.3,53.5
"18","13:08:52","20220323","Bernie","BNL20532","NO",-0.0705,391,1.77,27.5,28.03,400.38,400.03,19.147,20.206,54.97,500.6,30,100.3,50.4
"19","13:10:53","20220323","Bernie","BNL20532","NO",-0.314,399,1.78,27.5,28.01,399.9,399.87,19.097,20.086,54.62,500.6,19,100.3,46.8
"20","13:12:54","20220323","Bernie","BNL20532","NO",-0.622,411,1.8,27.52,28.03,399.68,400.05,19.06,19.982,54.3,500.6,9,100.3,43.2
"21","13:14:55","20220323","Bernie","BNL20532","NO",-1.02,429,1.8,27.54,28,399.26,400.13,19.058,19.911,54.04,500.7,-1,100.2,39.9
"22","13:18:16","20220323","Bernie","BNL20532","YES",2.31,291,2.51,25.75,31.11,403.16,399.91,19.093,20.274,61.13,500.6,1999,100.2,39.5
"1","08:36:46","20220323","Derek","BNL20528","YES",4.58,333,0.918,27.01,28.13,407.1,401.07,27.634,28.917,81.11,499.6,1999,100.5,122
"2","08:39:07","20220323","Derek","BNL20528","YES",4.8,320,0.901,26.71,28.05,406.1,399.88,27.805,28.916,82.56,499.6,2000,100.5,107
"3","08:41:14","20220323","Derek","BNL20528","YES",5.12,321,0.859,26.69,27.92,406.64,400.02,27.907,29.038,83.03,499.6,2000,100.5,115
"4","08:43:16","20220323","Derek","BNL20528","YES",5.09,320,0.844,26.67,27.88,406.61,400.05,28.02,29.11,83.33,499.6,2000,100.5,112
"5","08:45:17","20220323","Derek","BNL20528","NO",4.25,339,0.836,27.34,27.93,405.77,400.16,28.095,29.307,80.64,499.6,1700,100.5,127
"6","08:47:18","20220323","Derek","BNL20528","NO",4.05,338,0.851,27.61,28.01,405.46,400.11,28.174,29.326,79.41,499.5,1501,100.5,118
"7","08:49:19","20220323","Derek","BNL20528","NO",4.01,336,0.849,27.66,28.02,405.43,400.16,28.262,29.364,79.3,499.5,1401,100.5,113
"8","08:51:20","20220323","Derek","BNL20528","NO",3.91,335,0.83,27.79,27.95,405.34,400.22,28.362,29.399,78.78,499.6,1201,100.5,108
"9","08:53:21","20220323","Derek","BNL20528","NO",3.71,336,0.811,27.97,27.88,404.86,400,28.459,29.434,78.05,499.6,1001,100.5,104
"10","08:55:22","20220323","Derek","BNL20528","NO",3.51,338,0.819,28.35,27.96,404.36,399.74,28.562,29.525,76.59,499.5,800,100.5,102
"11","08:57:23","20220323","Derek","BNL20528","NO",3.17,341,0.821,28.58,28.01,404.13,399.94,28.699,29.616,75.83,499.6,600,100.5,96.5
"12","08:59:24","20220323","Derek","BNL20528","NO",2.94,340,0.795,28.67,27.92,403.9,400.03,28.873,29.685,75.58,499.5,400,100.5,88
"13","09:01:25","20220323","Derek","BNL20528","NO",2.63,342,0.775,28.69,27.9,403.53,400.07,29.097,29.829,75.88,499.5,300,100.5,81.2
"14","09:03:26","20220323","Derek","BNL20528","NO",2.27,348,0.776,28.91,28,402.87,399.84,29.321,30.041,75.44,499.5,200,100.5,79.8
"15","09:05:27","20220323","Derek","BNL20528","NO",1.63,361,0.773,29,28.11,402.14,399.89,29.617,30.324,75.73,499.5,120,100.5,78.6
"16","09:07:28","20220323","Derek","BNL20528","NO",1.06,372,0.758,29.03,28.14,401.53,399.98,29.863,30.525,76.13,499.5,79,100.5,74.9
"17","09:09:29","20220323","Derek","BNL20528","NO",0.608,380,0.743,28.98,28.14,400.85,399.87,30.104,30.691,76.77,499.5,49,100.5,67.5
"18","09:11:30","20220323","Derek","BNL20528","NO",0.289,387,0.724,28.89,28.13,400.33,399.77,30.324,30.838,77.55,499.5,29,100.5,60.5
"19","09:13:31","20220323","Derek","BNL20528","NO",0.0804,393,0.705,28.89,28.12,400.36,400.07,30.531,31.017,77.99,499.5,20,100.5,58.8
"20","09:15:32","20220323","Derek","BNL20528","NO",-0.217,402,0.69,28.87,28.08,399.89,399.96,30.634,31.084,78.25,499.5,10,100.5,55.5
"21","09:17:33","20220323","Derek","BNL20528","NO",-0.537,412,0.678,28.86,28.03,399.44,399.91,30.673,31.091,78.32,499.5,1,100.5,52.6
"1","12:51:56","20220323","Derek","BNL20531","YES",2.91,321,1.7,27.09,29.24,404.22,400.17,22.326,23.693,66.04,500.3,2000,100.3,68.4
"2","12:55:17","20220323","Derek","BNL20531","YES",2.84,324,1.64,26.81,28.97,403.84,399.89,22.364,23.71,67.18,500.4,2000,100.3,70
"3","12:57:57","20220323","Derek","BNL20531","NO",2.98,323,1.64,26.85,29.01,404.14,400,22.378,23.781,67.22,500.3,2000,100.3,72.9
"4","13:00:19","20220323","Derek","BNL20531","NO",2.59,329,1.61,27.07,28.87,403.2,399.55,22.378,23.707,66.14,500.4,1701,100.3,70.1
"5","13:02:28","20220323","Derek","BNL20531","NO",2.59,327,1.63,27.56,28.9,403.69,400.07,22.31,23.587,63.95,500.3,1501,100.3,66.5
"6","13:04:29","20220323","Derek","BNL20531","NO",2.27,334,1.66,27.78,29,403.06,399.81,22.22,23.523,62.96,500.3,1399,100.3,66.6
"7","13:07:28","20220323","Derek","BNL20531","NO",2.31,331,1.67,27.98,28.99,403.19,399.9,22.174,23.437,61.99,500.3,1200,100.3,64.3
"8","13:10:08","20220323","Derek","BNL20531","NO",2.28,328,1.66,28.2,28.86,403.21,399.99,22.088,23.265,60.74,500.3,1001,100.3,60.3
"9","13:12:40","20220323","Derek","BNL20531","NO",2.19,329,1.69,28.74,28.94,403.19,400.1,21.984,23.146,58.58,500.3,800,100.3,58.4
"10","13:14:47","20220323","Derek","BNL20531","NO",1.93,333,1.7,28.99,28.96,402.76,399.99,21.947,23.07,57.54,500.3,600,100.2,56
"11","13:16:48","20220323","Derek","BNL20531","NO",1.84,334,1.69,29.17,28.88,402.22,399.57,21.927,23,56.78,500.3,401,100.2,53.8
"12","13:18:49","20220323","Derek","BNL20531","NO",1.64,339,1.71,29.35,28.96,402.43,400.03,21.917,22.981,56.13,500.3,299,100.2,52.7
"13","13:20:50","20220323","Derek","BNL20531","NO",1.12,353,1.7,29.35,28.89,401.66,399.9,21.911,22.926,55.98,500.3,200,100.2,50.5
"14","13:22:51","20220323","Derek","BNL20531","NO",0.838,361,1.71,29.56,28.92,401.15,399.75,21.883,22.853,55.15,500.3,119,100.2,47.8
"15","13:25:39","20220323","Derek","BNL20531","NO",0.399,374,1.73,29.6,28.97,401.33,400.49,21.894,22.781,54.83,500.4,79,100.2,43.2
"16","13:27:59","20220323","Derek","BNL20531","NO",-0.0227,389,1.73,29.58,28.92,400.01,399.72,21.94,22.718,54.75,500.3,49,100.2,37.9
"17","13:30:22","20220323","Derek","BNL20531","NO",-0.331,405,1.73,29.59,28.94,400.18,400.3,21.997,22.687,54.63,500.4,29,100.2,33.4
"18","13:32:24","20220323","Derek","BNL20531","NO",-0.447,412,1.75,29.63,29.01,399.58,399.86,22.077,22.702,54.55,500.4,21,100.2,30
"19","13:34:25","20220323","Derek","BNL20531","NO",-0.74,432,1.74,29.63,29,399.35,400,22.159,22.72,54.6,500.3,10,100.2,26.9
"20","13:36:26","20220323","Derek","BNL20531","NO",-0.901,449,1.73,29.62,28.94,399.2,400.08,22.209,22.703,54.57,500.4,1,100.2,23.9
"21","13:39:37","20220323","Derek","BNL20531","YES",0.911,327,1.92,27.51,29.79,401.19,399.88,22.338,22.887,62.19,500.4,1999,100.2,23.9
"1","08:42:06","20220404","Andy","BNL21682","YES",3.63,303,1.76,21.44,25.95,404.61,399.68,14.543,15.952,62.56,500.2,1999,100.7,68.4
"2","08:45:14","20220404","Andy","BNL21682","YES",2.3,329,1.83,21.65,26.28,403.42,400.12,14.574,15.912,61.67,500.1,1999,100.7,62.3
"3","08:47:18","20220404","Andy","BNL21682","YES",2.13,332,1.76,21.07,25.92,403.04,399.97,14.604,15.861,63.71,500.1,2000,100.7,60.8
"4","08:49:19","20220404","Andy","BNL21682","NO",2.2,330,1.75,21.15,25.83,403.04,399.91,14.608,15.834,63.3,500.1,2000,100.7,59.8
"5","08:51:49","20220404","Andy","BNL21682","NO",2.05,333,1.75,22.41,25.85,402.43,399.48,14.593,15.813,58.55,500.1,1700,100.7,59.3
"6","08:53:59","20220404","Andy","BNL21682","NO",1.91,335,1.78,23.09,25.99,402.64,399.85,14.588,15.799,56.12,500.1,1500,100.7,57.9
"7","08:56:13","20220404","Andy","BNL21682","NO",1.86,336,1.79,23.31,26.03,402.41,399.69,14.583,15.782,55.32,500.1,1399,100.7,56.9
"8","08:58:54","20220404","Andy","BNL21682","NO",1.82,336,1.79,23.68,26,402.75,400.09,14.575,15.743,53.95,500.1,1199,100.7,55.5
"9","09:01:06","20220404","Andy","BNL21682","NO",1.39,348,1.78,24.19,25.94,402.24,400.1,14.561,15.707,52.2,500.1,1000,100.7,54.6
"10","09:03:12","20220404","Andy","BNL21682","NO",1.43,346,1.79,24.78,25.95,402.25,400.08,14.538,15.669,50.26,500.1,800,100.7,53.7
"11","09:05:13","20220404","Andy","BNL21682","NO",1.25,351,1.79,25.34,25.96,402.02,400.07,14.519,15.634,48.51,500.1,601,100.7,52.8
"12","09:07:14","20220404","Andy","BNL21682","NO",1.06,355,1.8,25.9,25.96,401.85,400.13,14.506,15.594,46.8,500.1,400,100.7,51.4
"13","09:09:15","20220404","Andy","BNL21682","NO",1.02,356,1.8,26.01,25.95,401.64,399.98,14.493,15.552,46.39,500.1,300,100.7,49.9
"14","09:11:20","20220404","Andy","BNL21682","NO",0.78,362,1.8,26.24,25.94,400.86,399.51,14.486,15.51,45.62,500.1,199,100.7,48.2
"15","09:13:21","20220404","Andy","BNL21682","NO",0.518,370,1.81,26.48,25.96,401,399.98,14.471,15.455,44.84,500.1,120,100.7,46
"16","09:15:22","20220404","Andy","BNL21682","NO",0.065,386,1.82,26.51,25.96,400.49,400.03,14.463,15.394,44.58,500.1,80,100.7,43.3
"17","09:17:23","20220404","Andy","BNL21682","NO",-0.295,400,1.82,26.52,25.96,400.01,400.01,14.457,15.328,44.36,500.1,50,100.7,40.3
"18","09:19:24","20220404","Andy","BNL21682","NO",-0.573,413,1.83,26.53,25.95,399.56,399.92,14.452,15.26,44.15,500.1,30,100.7,37.3
"19","09:21:25","20220404","Andy","BNL21682","NO",-0.806,425,1.83,26.53,25.94,399.36,400.02,14.445,15.204,43.98,500.1,20,100.7,34.9
"20","09:23:26","20220404","Andy","BNL21682","NO",-0.997,437,1.83,26.53,25.92,399.25,400.16,14.45,15.16,43.85,500.1,11,100.7,32.6
"21","09:25:27","20220404","Andy","BNL21682","NO",-1.24,452,1.84,26.65,25.93,398.92,400.13,14.451,15.13,43.45,500.1,0,100.7,31.1
"22","09:28:48","20220404","Andy","BNL21682","YES",1.3,295,2.09,21.66,27.16,400.23,398.44,14.53,15.105,58.5,500.1,1999,100.7,23
"1","13:38:23","20220404","Andy","BNL21687","YES",2.5,352,1.58,22.97,25.96,404.01,400.22,15.862,17.801,63.59,500.2,2000,100.5,106
"2","13:42:24","20220404","Andy","BNL21687","YES",2.7,348,1.62,23.05,26.24,404.08,400.03,15.913,17.887,63.55,500.1,1999,100.5,105
"3","13:44:25","20220404","Andy","BNL21687","YES",2.75,347,1.57,22.68,25.95,404.1,400.03,15.93,17.843,64.82,500.2,1999,100.5,105
"4","13:46:27","20220404","Andy","BNL21687","YES",2.7,349,1.55,22.83,25.87,404.13,400.12,15.936,17.845,64.25,500.2,1999,100.5,106
"5","13:48:28","20220404","Andy","BNL21687","NO",2.36,353,1.56,23.63,25.85,403.58,400,15.935,17.794,61.05,500.1,1701,100.5,103
"6","13:50:29","20220404","Andy","BNL21687","NO",2.29,353,1.58,24.01,25.94,403.52,400.04,15.943,17.764,59.55,500.1,1500,100.5,99.7
"7","13:52:30","20220404","Andy","BNL21687","NO",2.23,353,1.58,24.19,25.97,403.48,400.07,15.956,17.76,58.9,500.1,1399,100.5,98.2
"8","13:54:31","20220404","Andy","BNL21687","NO",2.18,353,1.57,24.37,25.9,403.31,399.99,15.971,17.711,58.13,500.1,1200,100.5,95.2
"9","13:56:32","20220404","Andy","BNL21687","NO",2,355,1.58,24.87,25.89,403.25,400.14,15.979,17.691,56.34,500.1,1000,100.5,93.6
"10","13:58:33","20220404","Andy","BNL21687","NO",1.89,356,1.59,25.31,25.96,402.84,399.89,16,17.685,54.87,500.2,800,100.5,91.2
"11","14:00:34","20220404","Andy","BNL21687","NO",1.73,358,1.59,25.62,25.96,402.74,399.99,16.025,17.664,53.8,500.1,600,100.5,88.5
"12","14:02:35","20220404","Andy","BNL21687","NO",1.56,360,1.59,25.95,25.93,402.34,399.83,16.034,17.624,52.66,500.1,401,100.5,86
"13","14:04:36","20220404","Andy","BNL21687","NO",1.4,363,1.59,26.16,25.94,402.36,400.05,16.03,17.594,51.93,500.1,301,100.5,84.2
"14","14:06:37","20220404","Andy","BNL21687","NO",1.12,367,1.6,26.35,25.94,401.89,399.92,16.012,17.546,51.17,500.1,199,100.5,82.3
"15","14:08:38","20220404","Andy","BNL21687","NO",0.689,376,1.61,26.52,25.95,401.36,399.93,15.985,17.486,50.5,500.1,119,100.5,80
"16","14:10:39","20220404","Andy","BNL21687","NO",0.354,382,1.62,26.54,25.97,400.94,399.91,15.964,17.43,50.27,500.1,80,100.5,77.6
"17","14:12:40","20220404","Andy","BNL21687","NO",-0.0202,390,1.62,26.55,25.96,400.54,399.99,15.952,17.373,50.09,500.1,51,100.5,75
"18","14:14:41","20220404","Andy","BNL21687","NO",-0.236,395,1.62,26.55,25.92,400.36,400.08,15.95,17.325,49.94,500.1,30,100.5,72.6
"19","14:16:42","20220404","Andy","BNL21687","NO",-0.433,399,1.62,26.55,25.94,399.99,399.96,15.949,17.292,49.84,500.1,21,100.5,70.6
"20","14:18:43","20220404","Andy","BNL21687","NO",-0.752,408,1.63,26.55,25.93,399.81,400.18,15.958,17.26,49.74,500.1,11,100.5,68.2
"21","14:20:44","20220404","Andy","BNL21687","NO",-0.952,412,1.63,26.71,25.94,399.41,400.03,15.968,17.253,49.27,500.1,0,100.5,67.2
"22","14:23:39","20220404","Andy","BNL21687","YES",2.21,340,1.67,21.9,26.25,403.15,399.91,16.084,17.504,66.65,500.1,1999,100.5,72.8
"1","12:30:35","20220404","Bernie","BNL21685","YES",4.24,310,1.67,22.68,25.56,407.62,401.86,14.447,16.099,58.61,499.8,1999,100.7,85.1
"2","13:21:41","20220404","Bernie","BNL21685","YES",4.13,348,1.71,24.29,26.24,406.15,399.86,13.754,17.019,56.19,499.8,2000,100.6,169
"3","13:23:42","20220404","Bernie","BNL21685","YES",4.13,348,1.66,23.98,25.99,405.93,399.68,13.794,16.967,57.06,499.8,1999,100.6,169
"4","13:25:43","20220404","Bernie","BNL21685","NO",3.84,351,1.65,23.93,25.89,405.9,400.01,13.821,16.954,57.23,499.8,2000,100.6,169
"5","13:27:47","20220404","Bernie","BNL21685","NO",3.96,348,1.65,24.48,25.83,405.83,399.86,13.839,16.842,54.99,499.8,1701,100.6,161
"6","13:29:48","20220404","Bernie","BNL21685","NO",3.79,349,1.67,24.91,25.91,405.58,399.84,13.856,16.794,53.43,499.8,1501,100.6,155
"7","13:31:49","20220404","Bernie","BNL21685","NO",3.64,349,1.68,24.94,25.93,405.31,399.76,13.863,16.758,53.21,499.8,1400,100.6,152
"8","13:33:50","20220404","Bernie","BNL21685","NO",3.5,350,1.68,25.26,25.9,405.37,400.02,13.866,16.684,51.97,499.8,1201,100.6,148
"9","13:35:51","20220404","Bernie","BNL21685","NO",3.39,350,1.69,25.67,25.94,405.25,400.07,13.864,16.608,50.49,499.8,999,100.6,142
"10","13:37:52","20220404","Bernie","BNL21685","NO",3.43,348,1.7,25.9,25.93,405.1,399.91,13.862,16.527,49.55,499.8,800,100.6,137
"11","13:39:53","20220404","Bernie","BNL21685","NO",3.27,348,1.7,26.15,25.89,404.79,399.82,13.846,16.421,48.5,499.8,601,100.6,132
"12","13:41:54","20220404","Bernie","BNL21685","NO",2.97,350,1.71,26.43,25.87,404.44,399.86,13.837,16.32,47.43,499.8,400,100.6,127
"13","13:43:55","20220404","Bernie","BNL21685","NO",2.79,351,1.73,26.67,25.93,404.35,400.03,13.834,16.234,46.49,499.8,300,100.5,121
"14","13:45:56","20220404","Bernie","BNL21685","NO",2.24,356,1.75,26.83,25.95,403.56,399.95,13.8,16.05,45.55,499.8,200,100.5,111
"15","13:47:57","20220404","Bernie","BNL21685","NO",1.39,365,1.78,26.84,25.93,402.62,400.16,13.78,15.739,44.62,499.7,120,100.5,94.7
"16","13:49:58","20220404","Bernie","BNL21685","NO",0.942,367,1.83,26.85,25.97,401.79,400.03,13.76,15.292,43.34,499.7,80,100.5,71.4
"17","13:51:59","20220404","Bernie","BNL21685","NO",0.387,377,1.87,26.85,25.99,400.89,399.94,13.754,14.95,42.37,499.8,51,100.5,54.2
"18","13:54:00","20220404","Bernie","BNL21685","NO",-0.0297,389,1.9,26.85,26,400.34,399.98,13.747,14.716,41.7,499.8,30,100.5,43.1
"19","13:56:01","20220404","Bernie","BNL21685","NO",-0.196,397,1.92,26.85,26.02,399.96,399.88,13.739,14.53,41.17,499.8,19,100.5,34.6
"20","13:58:02","20220404","Bernie","BNL21685","NO",-0.322,406,1.94,26.86,26.03,400.04,400.16,13.734,14.376,40.72,499.8,9,100.5,27.8
"21","14:00:03","20220404","Bernie","BNL21685","NO",-0.52,424,1.92,26.61,25.89,399.42,399.83,13.764,14.285,41.05,499.8,-2,100.5,22.8
"22","14:03:04","20220404","Bernie","BNL21685","YES",2.22,235,1.97,23.3,26.24,402.75,399.86,13.881,14.426,50.49,499.8,1999,100.5,23.1
"1","09:28:39","20220404","Derek","BNL21681","YES",3.04,329,1.73,24.31,26.01,403.7,399.38,14.734,16.399,54.12,499.6,1999,100.7,82.9
"2","09:31:24","20220404","Derek","BNL21681","YES",2.96,331,1.75,24.35,26.17,404.62,400.38,14.77,16.448,54.14,499.6,1999,100.7,82.1
"3","09:34:45","20220404","Derek","BNL21681","YES",2.83,334,1.71,24.22,25.99,403.79,399.71,14.789,16.453,54.62,499.5,1999,100.7,83.3
"4","09:36:46","20220404","Derek","BNL21681","NO",2.99,331,1.7,24.2,25.94,403.98,399.71,14.801,16.459,54.7,499.6,2000,100.7,83.5
"5","09:40:07","20220404","Derek","BNL21681","NO",3.09,327,1.72,24.74,26,403.99,399.62,14.816,16.435,52.89,499.6,1700,100.7,80.8
"6","09:42:36","20220404","Derek","BNL21681","NO",2.63,334,1.72,24.91,25.97,403.69,399.9,14.815,16.383,52.17,499.6,1500,100.7,78.1
"7","09:45:07","20220404","Derek","BNL21681","NO",2.76,330,1.73,25.05,25.99,403.99,400.06,14.811,16.347,51.63,499.6,1400,100.7,76.2
"8","09:47:18","20220404","Derek","BNL21681","NO",2.59,333,1.72,25.22,25.93,403.57,399.85,14.795,16.292,50.93,499.6,1201,100.7,74.4
"9","09:49:19","20220404","Derek","BNL21681","NO",2.43,334,1.72,25.45,25.9,403.63,400.13,14.776,16.212,50,499.6,1001,100.7,71.3
"10","09:51:21","20220404","Derek","BNL21681","NO",2.23,337,1.73,25.78,25.92,403.44,400.18,14.754,16.16,48.88,499.6,800,100.7,69.4
"11","09:53:28","20220404","Derek","BNL21681","NO",2.33,333,1.74,26.02,25.95,403.34,399.99,14.738,16.102,48.01,499.5,599,100.7,66.8
"12","09:56:06","20220404","Derek","BNL21681","NO",1.95,340,1.75,26.23,25.95,402.95,400.07,14.727,16.043,47.25,499.6,400,100.7,64.1
"13","09:58:41","20220404","Derek","BNL21681","NO",2.12,335,1.75,26.27,25.92,402.9,399.83,14.713,16.004,47.02,499.5,300,100.7,63
"14","10:01:00","20220404","Derek","BNL21681","NO",1.59,346,1.74,26.27,25.85,402.01,399.6,14.709,15.95,46.87,499.5,200,100.7,60.8
"15","10:03:04","20220404","Derek","BNL21681","NO",1.23,356,1.75,26.47,25.89,402.24,400.26,14.703,15.942,46.29,499.5,119,100.7,60.3
"16","10:05:10","20220404","Derek","BNL21681","NO",0.913,364,1.75,26.49,25.89,401.61,400.02,14.695,15.913,46.17,499.5,80,100.7,59.2
"17","10:07:28","20220404","Derek","BNL21681","NO",0.762,368,1.75,26.49,25.89,401.28,399.88,14.687,15.882,46.06,499.5,50,100.7,58
"18","10:10:18","20220404","Derek","BNL21681","NO",0.545,373,1.75,26.49,25.88,400.98,399.86,14.673,15.829,45.91,499.5,30,100.7,56
"19","10:12:44","20220404","Derek","BNL21681","NO",0.121,385,1.76,26.49,25.87,400.73,400.12,14.66,15.79,45.8,499.5,21,100.7,54.5
"20","10:15:12","20220404","Derek","BNL21681","NO",-0.29,397,1.76,26.49,25.87,399.98,399.88,14.648,15.747,45.68,499.5,10,100.7,52.9
"21","10:18:01","20220404","Derek","BNL21681","NO",-0.297,398,1.78,26.62,25.96,399.79,399.71,14.634,15.716,45.25,499.5,1,100.7,51.4
"1","13:46:30","20220404","Derek","BNL21686","YES",3.65,318,1.36,24.19,25.98,400.13,395.2,18.59,19.963,66.26,500.4,1999,100.5,86.8
